semester,topic,detail,taught,week_taught,notes
七上,現在式,"be動詞(am/is/are)現在式；一般動詞現在式(do/does)",no,,
七上,名詞與冠詞,"名詞單複數；冠詞a/an/the",no,,
七上,代名詞,"人稱代名詞；所有格",no,,
七上,基礎句型,"there is/are；現在進行式；頻率副詞",no,,
七上,疑問句,"What/Who/Where/When/How問句；情態動詞can",no,,
七下,過去式,"be動詞過去式(was/were)；規則/不規則動詞過去式",no,,
七下,過去進行式,"過去進行式",no,,
七下,比較級基礎,"形容詞比較級/最高級(基礎)",no,,
七下,情態動詞,"may/must/have to",no,,
七下,授與動詞,"give sb sth句型",no,,
八上,未來式,"will／be going to",no,,
八上,條件句,"if條件句基礎",no,,
八上,不定詞與動名詞,"to V；V-ing；感官動詞+原形V/V-ing",no,,
八上,現在完成式,"have/has+p.p.基礎",no,,
八上,連接詞,"because/so/although/when/before/after",no,,
八下,現在完成式進階,"for/since；ever/never；just/already/yet",no,,
八下,被動語態基礎,"be動詞+p.p.基礎句型",no,,
八下,關係代名詞,"who/which/that",no,,
八下,間接問句與附加問句,"間接問句；附加問句",no,,
八下,比較級進階,"as...as；比較級進階句型",no,,
九上,過去完成式,"had+p.p.基礎",no,,
九上,被動語態進階,"各時態被動語態",no,,
九上,假設語氣,"與現在事實相反的假設句",no,,
九上,名詞子句,"that/wh-引導的名詞子句",no,,
九上,使役動詞,"let/make/have+受詞+原形V",no,,
九下,會考總複習,"綜合時態總表；易混淆文法比較；片語動詞總整理；閱讀理解搭配文法應用",no,,
