word,part_of_speech,level,taught,week_taught,notes
a,art.,1200,no,,
a few,adj.,1200,no,,
a little,adj.,1200,no,,
a lot,adj.,1200,no,,
A.M.,adv.,1200,no,,
able,adj.,1200,no,,
about,adv./prep.,1200,no,,
above,adj./adv.,1200,no,,
abroad,adv.,1200,no,,
absent,adj./v.,800,no,,
accept,v.,800,no,,
accident,n.,800,no,,
across,adv./prep.,1200,no,,
act,v./n.,1200,no,,
action,n.,1200,no,,
active,adj.,800,no,,
activity,n.,800,no,,
actor,n.,1200,no,,
actress,n.,1200,no,,
actually,adv.,1200,no,,
add,v.,800,no,,
address,v./n.,800,no,,
admire,v.,800,no,,
adult,adj./n.,800,no,,
advertisement,n.,800,no,,
advice,n.,800,no,,
advise,v.,800,no,,
affect,v.,800,no,,
afraid,adj.,1200,no,,
after,adv./prep.,1200,no,,
afternoon,n.,1200,no,,
again,adv.,1200,no,,
against,prep.,800,no,,
age,v./n.,1200,no,,
ago,adv.,1200,no,,
agree,v.,1200,no,,
ahead,adv.,1200,no,,
aim,v./n.,800,no,,
air,n.,1200,no,,
air conditioner,n.,800,no,,
airlines,n.,800,no,,
airplane,n.,1200,no,,
airport,n.,1200,no,,
alarm,v./n.,800,no,,
album,n.,800,no,,
alike,adj./adv.,800,no,,
alive,adj.,800,no,,
all,adj./adv.,1200,no,,
allow,v.,1200,no,,
almost,adv.,1200,no,,
alone,adj./adv.,800,no,,
along,adv./prep.,1200,no,,
aloud,adv.,800,no,,
alphabet,n.,800,no,,
already,adv.,1200,no,,
also,adv.,1200,no,,
although,conj.,1200,no,,
altogether,adv.,800,no,,
always,adv.,1200,no,,
am,v.,1200,no,,
ambulance,n.,800,no,,
America,n.,1200,no,,
American,adj./n.,1200,no,,
among,prep.,800,no,,
amount,v./n.,800,no,,
an,art.,1200,no,,
ancient,adj.,800,no,,
and,conj.,1200,no,,
angel,n.,800,no,,
anger,n.,800,no,,
angle,n.,1200,no,,
angry,adj.,1200,no,,
animal,n.,1200,no,,
ankle,n.,800,no,,
another,adj./pron.,1200,no,,
answer,v./n.,1200,no,,
ant,n.,1200,no,,
any,adj./adv.,1200,no,,
anybody,pron.,1200,no,,
anyone,pron.,1200,no,,
anything,pron.,1200,no,,
anywhere,adv.,800,no,,
apartment,n.,1200,no,,
apologize,v.,800,no,,
appear,v.,1200,no,,
apple,n.,1200,no,,
appreciate,v.,800,no,,
April,n.,1200,no,,
are,v.,1200,no,,
area,n.,1200,no,,
aren't,v.,1200,no,,
argue,v.,800,no,,
arm,v./n.,1200,no,,
armchair,n.,800,no,,
army,n.,800,no,,
around,adv./prep.,1200,no,,
arrange,v.,800,no,,
arrive,v.,1200,no,,
art,n.,1200,no,,
artist,n.,800,no,,
as,adv./prep.,1200,no,,
ask,v.,1200,no,,
asleep,adj.,800,no,,
assistant,adj./n.,800,no,,
assume,v.,800,no,,
at,prep.,1200,no,,
attack,v./n.,1200,no,,
attention,n.,800,no,,
August,n.,1200,no,,
aunt,n.,1200,no,,
autumn,n.,1200,no,,
available,adj.,800,no,,
avoid,v.,800,no,,
away,adj./adv.,1200,no,,
baby,n.,1200,no,,
baby sitter,n.,800,no,,
back,adj./v.,1200,no,,
backpack,v./n.,800,no,,
backward,adj./adv.,800,no,,
bad,adj.,1200,no,,
badminton,n.,1200,no,,
bag,n.,1200,no,,
bake,v.,1200,no,,
bakery,n.,1200,no,,
balcony,n.,1200,no,,
ball,v./n.,800,no,,
balloon,v./n.,800,no,,
banana,n.,1200,no,,
band,n.,1200,no,,
bank,v./n.,1200,no,,
barbecue,v./n.,800,no,,
barber,n.,800,no,,
bark,v./n.,800,no,,
base,v./n.,800,no,,
baseball,n.,1200,no,,
basement,n.,800,no,,
basic,adj.,800,no,,
basket,n.,1200,no,,
basketball,n.,1200,no,,
bat,v./n.,1200,no,,
bath,n.,1200,no,,
bathe,v.,800,no,,
bathroom,n.,1200,no,,
be,v.,1200,no,,
beach,v./n.,1200,no,,
bean,n.,1200,no,,
bear,v./n.,1200,no,,
beard,n.,800,no,,
beat,v./n.,800,no,,
beautiful,adj.,1200,no,,
beauty,n.,800,no,,
because,conj.,1200,no,,
become,v.,1200,no,,
bed,n.,1200,no,,
bedroom,n.,1200,no,,
bee,n.,1200,no,,
beef,n.,1200,no,,
beer,n.,800,no,,
before,adv./prep.,1200,no,,
begin,v.,1200,no,,
beginner,n.,800,no,,
beginning,n.,800,no,,
behave,v.,800,no,,
behind,adv./prep.,1200,no,,
believe,v.,1200,no,,
bell,n.,1200,no,,
belong,v.,1200,no,,
below,adv./prep.,1200,no,,
belt,v./n.,1200,no,,
bench,n.,1200,no,,
beside,prep.,1200,no,,
besides,adv./prep.,800,no,,
between,adv./prep.,1200,no,,
beyond,adv./prep.,800,no,,
bicycle,n.,1200,no,,
big,adj.,1200,no,,
bike,v./n.,1200,no,,
bill,v./n.,800,no,,
biology,n.,800,no,,
bird,n.,1200,no,,
birthday,n.,1200,no,,
bite,v./n.,1200,no,,
bitter,adj.,800,no,,
black,adj./n.,1200,no,,
blackboard,n.,1200,no,,
blame,v./n.,800,no,,
blank,adj./n.,1200,no,,
blanket,v./n.,1200,no,,
bless,v.,800,no,,
blind,adj./v.,1200,no,,
block,v./n.,1200,no,,
blood,n.,800,no,,
blouse,n.,800,no,,
blow,v./n.,1200,no,,
blue,adj./n.,1200,no,,
board,v./n.,800,no,,
boat,n.,1200,no,,
body,n.,1200,no,,
boil,v./n.,1200,no,,
bomb,v./n.,800,no,,
bone,n.,800,no,,
book,v./n.,1200,no,,
